date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:22	197728/197728	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20May%202025%2019:19:00%20GMT	https://shopper-tnc.webflow.io/home	C:/My%20Web%20Sites/Electronics%20Shop/shopper-tnc.webflow.io/home.html	(from )
11:18:22	20/20	---MCZ	200	added ('OK')	text/plain	date:Fri,%2016%20May%202025%2019:26:50%20GMT	https://shopper-tnc.webflow.io/robots.txt		(from )
11:18:23	208489/208489	---M-Z	200	added ('OK')	text/css	etag:%22775df8984b8f68cd432569a558dd7196%22	https://cdn.prod.website-files.com/65fd584b6e6336bd0392e213/css/shopper-tnc.webflow.7e387d6ac.css	C:/My%20Web%20Sites/Electronics%20Shop/cdn.prod.website-files.com/65fd584b6e6336bd0392e213/css/shopper-tnc.webflow.7e387d6ac.css	(from https://shopper-tnc.webflow.io/home)
11:18:23	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Electronics%20Shop/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://shopper-tnc.webflow.io/home)
11:18:24	683/683	---M--	200	added ('OK')	image/png	etag:%22312658a9cd5c71b91c3425e501286000%22	https://cdn.prod.website-files.com/65f0219f664a58453bb579a5/65fcfce418215a8fd86aebfa_fav.png	C:/My%20Web%20Sites/Electronics%20Shop/cdn.prod.website-files.com/65f0219f664a58453bb579a5/65fcfce418215a8fd86aebfa_fav.png	(from https://shopper-tnc.webflow.io/home)
11:18:24	4604/4604	---M--	200	added ('OK')	image/png	etag:%22268d0403786b0cb15a2b23a9ae8ddcaf%22	https://cdn.prod.website-files.com/65f0219f664a58453bb579a5/65fcfce7166e6337e177c966_Webclip.png	C:/My%20Web%20Sites/Electronics%20Shop/cdn.prod.website-files.com/65f0219f664a58453bb579a5/65fcfce7166e6337e177c966_Webclip.png	(from https://shopper-tnc.webflow.io/home)
11:18:25	6398/6398	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2017%20May%202025%2005:44:11%20GMT	https://shopper-tnc.webflow.io/privacy-policy	C:/My%20Web%20Sites/Electronics%20Shop/shopper-tnc.webflow.io/privacy-policy	(from https://shopper-tnc.webflow.io/home)
11:18:26	6398/6398	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2017%20May%202025%2005:44:12%20GMT	https://shopper-tnc.webflow.io/sign-up	C:/My%20Web%20Sites/Electronics%20Shop/shopper-tnc.webflow.io/sign-up	(from https://shopper-tnc.webflow.io/home)
11:18:27	5048/5048	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20May%202025%2017:41:25%20GMT	https://shopper-tnc.webflow.io/log-in	C:/My%20Web%20Sites/Electronics%20Shop/shopper-tnc.webflow.io/log-in.html	(from https://shopper-tnc.webflow.io/home)
11:18:27	6398/6398	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2017%20May%202025%2005:44:13%20GMT	https://shopper-tnc.webflow.io/user-account	C:/My%20Web%20Sites/Electronics%20Shop/shopper-tnc.webflow.io/user-account	(from https://shopper-tnc.webflow.io/home)
